#### This dataset contains Coffee Products data sold across various states,,,,,,,,,
,,,,,,,,,
,Area Code,Date,Product,Product Type,State,  Target Profit  ,  Target Sales  ,  Profit  ,  Sales  
,970,1/1/2018,Decaf Irish Cream,Coffee,Andhra Pradesh,$110.00 ,$240.00 ,$101.00 ,$234.00 
,309,1/1/2018,Decaf Irish Cream,Coffee,Tamil Nadu,$100.00 ,$240.00 ,$87.00 ,$234.00 
,614,1/1/2018,Decaf Irish Cream,Coffee,Manipur,$20.00 ,$150.00 ,$0.00 ,$150.00 
,720,1/1/2018,Decaf Espresso,Espresso,Andhra Pradesh,$80.00 ,$210.00 ,$53.00 ,$180.00 
,630,1/1/2018,Decaf Espresso,Espresso,Tamil Nadu,$180.00 ,$530.00 ,$140.00 ,$456.00 
,614,1/1/2018,Decaf Espresso,Espresso,Manipur,$40.00 ,$150.00 ,$16.00 ,$130.00 
,754,1/1/2018,Decaf Irish Cream,Coffee,Karnataka,$70.00 ,$190.00 ,$67.00 ,$200.00 
,754,1/1/2018,Decaf Espresso,Espresso,Karnataka,$60.00 ,$170.00 ,$50.00 ,$180.00 
,325,1/1/2018,Decaf Irish Cream,Coffee,Goa,$100.00 ,$230.00 ,$68.00 ,$190.00 
,956,1/1/2018,Decaf Espresso,Espresso,Goa,$60.00 ,$110.00 ,$54.00 ,$134.00 
,650,1/1/2018,Decaf Irish Cream,Coffee,Maharashtra,,$140.00 ,($117.00),$118.00 
,213,1/1/2018,Decaf Espresso,Espresso,Maharashtra,$200.00 ,$520.00 ,$203.00 ,$546.00 
,719,1/1/2018,Amaretto,Coffee,Andhra Pradesh,$100.00 ,$220.00 ,$94.00 ,$219.00 
,740,1/1/2018,Amaretto,Coffee,Manipur,$50.00 ,$140.00 ,$34.00 ,$140.00 
,970,1/1/2018,Colombian,Coffee,Andhra Pradesh,$80.00 ,$190.00 ,$68.00 ,$190.00 
,217,1/1/2018,Colombian,Coffee,Tamil Nadu,$130.00 ,$360.00 ,$111.00 ,$345.00 
,614,1/1/2018,Colombian,Coffee,Manipur,$50.00 ,$140.00 ,$42.00 ,$140.00 
,303,1/1/2018,Caffe Mocha,Espresso,Andhra Pradesh,$70.00 ,$150.00 ,$54.00 ,$134.00 
,309,1/1/2018,Caffe Mocha,Espresso,Tamil Nadu,$260.00 ,$640.00 ,$203.00 ,$546.00 
,614,1/1/2018,Caffe Mocha,Espresso,Manipur,$140.00 ,$400.00 ,$99.00 ,$341.00 
,954,1/1/2018,Colombian,Coffee,Karnataka,$70.00 ,$190.00 ,$68.00 ,$210.00 
,413,1/1/2018,Colombian,Coffee,Gujarat,$360.00 ,$460.00 ,$367.00 ,$494.00 
,716,1/1/2018,Colombian,Coffee,Madhya Pradesh,$260.00 ,$640.00 ,$262.00 ,$678.00 
,239,1/1/2018,Caffe Mocha,Espresso,Karnataka,$30.00 ,$180.00 ,$9.00 ,$190.00 
,781,1/1/2018,Caffe Mocha,Espresso,Gujarat,,$120.00 ,($23.00),$126.00 
,315,1/1/2018,Caffe Mocha,Espresso,Madhya Pradesh,,$50.00 ,($172.00),$61.00 
,978,1/1/2018,Regular Espresso,Espresso,Gujarat,$110.00 ,$330.00 ,$100.00 ,$341.00 
,631,1/1/2018,Regular Espresso,Espresso,Madhya Pradesh,$200.00 ,$480.00 ,$175.00 ,$490.00 
,409,1/1/2018,Colombian,Coffee,Goa,$220.00 ,$560.00 ,$159.00 ,$452.00 
,830,1/1/2018,Caffe Latte,Espresso,Goa,$50.00 ,$150.00 ,$53.00 ,$180.00 
,325,1/1/2018,Caffe Mocha,Espresso,Goa,$90.00 ,$180.00 ,$95.00 ,$219.00 
,916,1/1/2018,Amaretto,Coffee,Maharashtra,$30.00 ,$180.00 ,($2.00),$145.00 
,559,1/1/2018,Colombian,Coffee,Maharashtra,$370.00 ,$840.00 ,$262.00 ,$678.00 
,661,1/1/2018,Caffe Latte,Espresso,Maharashtra,$150.00 ,$430.00 ,$140.00 ,$456.00 
,818,1/1/2018,Caffe Mocha,Espresso,Maharashtra,$20.00 ,$240.00 ,$17.00 ,$250.00 
,970,1/1/2018,Chamomile,Herbal Tea,Andhra Pradesh,$110.00 ,$300.00 ,$99.00 ,$341.00 
,312,1/1/2018,Chamomile,Herbal Tea,Tamil Nadu,$100.00 ,$190.00 ,$95.00 ,$219.00 
,937,1/1/2018,Chamomile,Herbal Tea,Manipur,$50.00 ,$70.00 ,$29.00 ,$80.00 
